DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
967,19181021,  126,     ,
967,19181022,   54,     ,
967,19181023,    2,     ,
967,19181024,    0,     ,
967,19181025,    0,     ,
967,19181026,    3,     ,
967,19181027,    2,     ,
967,19181028,    0,     ,
967,19181029,    0,     ,
967,19181030,    0,     ,
967,19181031,    0,     ,
967,19181101,    4,     ,
967,19181102,    0,     ,
967,19181103,   43,     ,
967,19181104,    0,     ,
967,19181105,   80,     ,
967,19181106,   65,     ,
967,19181107,   45,     ,
967,19181108,   10,     ,
967,19181109,   10,     ,
967,19181110,    0,     ,
967,19181111,   18,     ,
967,19181112,   15,     ,
967,19181113,    0,     ,
967,19181114,    0,     ,
967,19181115,   10,     ,
967,19181116,    0,     ,
967,19181117,    0,     ,
967,19181118,    5,     ,
967,19181119,   10,     ,
967,19181120,    3,     ,
967,19181121,    1,     ,
967,19181122,    0,     ,
967,19181123,    5,     ,
967,19181124,    5,     ,
967,19181125,    4,     ,
967,19181126,    8,     ,
967,19181127,    0,     ,
967,19181128,   92,     ,
967,19181129,   18,     ,
967,19181130,    0,     ,
967,19181201,    0,     ,
967,19181202,    6,     ,
967,19181203,   18,     ,
967,19181204,   16,     ,
967,19181205,   17,     ,
967,19181206,    0,     ,
967,19181207,    0,     ,
967,19181208,    1,     ,
967,19181209,    0,     ,
967,19181210,   25,     ,
967,19181211,   62,     ,
967,19181212,   23,     ,
967,19181213,  105,     ,
967,19181214,   80,     ,
967,19181215,   25,     ,
967,19181216,    3,     ,
967,19181217,   19,     ,
967,19181218,   26,     ,
967,19181219,  162,     ,
967,19181220,  145,     ,
967,19181221,    8,     ,
967,19181222,   10,     ,
967,19181223,  112,     ,
967,19181224,  106,     ,
967,19181225,   31,     ,
967,19181226,    0,     ,
967,19181227,    0,     ,
967,19181228,   76,     ,
967,19181229,  208,     ,
967,19181230,   56,     ,
967,19181231,   49,     ,
967,19190101,   23,     ,
967,19190102,   59,     ,
967,19190103,   15,     ,
967,19190104,   44,     ,
967,19190105,   26,     ,
967,19190106,    4,     ,
967,19190107,    0,     ,
967,19190108,    0,     ,
967,19190109,    0,     ,
967,19190110,   10,     ,
967,19190111,    0,     ,
967,19190112,    7,     ,
967,19190113,   26,     ,
967,19190114,    7,     ,
967,19190115,   35,     ,
967,19190116,   61,     ,
