,0
1994-03-14,12.9
1994-03-28,12.00258805368047
1994-04-14,12.06215382402062
1994-04-29,11.76383543109839
1994-05-13,11.607213533013958
1994-05-28,11.528972068135225
1994-06-15,11.498153886426586
1994-06-28,11.134262193030608
1994-07-14,10.87449160070473
1994-07-27,10.599248999488314
1994-08-15,10.438003205428597
1994-08-27,10.549103972383406
1994-09-15,12.9
1994-09-29,10.891614168634813
1994-10-14,10.941583110098257
1994-10-28,10.84263914248055
1994-11-14,11.06351405779606
1994-11-28,11.107045924398562
1994-12-13,11.218056327933432
1994-12-29,11.388663901904213
1995-01-13,11.475534217062751
1995-01-27,12.9
1995-02-14,11.859702117095715
1995-02-28,11.955793252154539
1995-03-13,11.750506862899208
1995-03-28,11.794527984340533
1995-04-13,11.653192423346184
